effectID,byEffectType,byEffectExplain,dwOperationID,dwOperationData,dwOperationData1,dwPeriodicData,dwEXData,职业,备注
101,9,6,2,0,10000,1,101,战士,翻滚附加防御效果
102,9,9,2,0,1002,1,101,战士,翻滚附加防御效果
103,9,9,2,0,1003,1,101,战士,翻滚附加防御效果
104,9,9,2,0,1004,1,101,战士,翻滚附加防御效果
105,9,6,2,0,10000,1,102,战士,翻滚对落地点减速
106,9,9,2,0,1010,1,102,战士,翻滚对落地点减速
107,9,9,2,0,1011,1,102,战士,翻滚对落地点减速
108,9,9,2,0,1012,1,102,战士,翻滚对落地点减速
109,9,6,2,0,10000,1,103,战士,翻滚附加攻击强化效果
110,9,9,2,0,1014,1,103,战士,翻滚附加攻击强化效果
111,9,9,2,0,1015,1,103,战士,翻滚附加攻击强化效果
112,9,9,2,0,1016,1,103,战士,翻滚附加攻击强化效果
113,8,0,1,0,10,1,4,战士,翻滚的SP消耗下降
114,8,0,1,0,20,1,4,战士,翻滚的SP消耗下降
115,8,0,1,0,30,1,4,战士,翻滚的SP消耗下降
116,8,0,1,0,40,1,4,战士,翻滚的SP消耗下降
117,8,13,0,0,2000,1,6,战士,致命冲击的伤害提高20%
118,8,13,0,0,2000,1,7,战士,环刺的伤害提高20%
119,8,13,0,0,2000,1,8,战士,旋风刺的伤害提高20%
120,9,9,2,0,1071,1,106,战士,勇气呐喊附加胆怯效果
121,9,9,2,0,1072,1,106,战士,勇气呐喊附加胆怯效果
122,9,6,2,0,10000,1,104,战士,旋风刺命中敌人恢复SP
123,9,9,0,0,5,1,104,战士,旋风刺命中后恢复的SP提高
124,9,9,0,0,10,1,104,战士,旋风刺命中后恢复的SP提高
125,9,9,0,0,15,1,104,战士,旋风刺命中后恢复的SP提高
126,7,0,1,0,1000,1,100301,战士,致命冲击的冷却时间下降
127,7,0,1,0,2000,1,100301,战士,致命冲击的冷却时间下降
128,7,0,1,0,3000,1,100301,战士,致命冲击的冷却时间下降
129,7,0,1,0,4000,1,100301,战士,致命冲击的冷却时间下降
130,7,0,1,0,1000,1,100401,战士,圆月斩的冷却时间下降
131,7,0,1,0,2000,1,100401,战士,圆月斩的冷却时间下降
132,7,0,1,0,3000,1,100401,战士,圆月斩的冷却时间下降
133,7,0,1,0,4000,1,100401,战士,圆月斩的冷却时间下降
134,9,6,2,0,10000,1,105,战士,圆月斩命中小型敌人恢复SP
135,9,9,0,0,5,1,105,战士,圆月斩命中小型敌人后恢复的SP提高
136,9,9,0,0,10,1,105,战士,圆月斩命中小型敌人后恢复的SP提高
137,9,9,0,0,15,1,105,战士,圆月斩命中小型敌人后恢复的SP提高
138,9,9,2,0,1073,1,106,战士,勇气呐喊附加胆怯效果
139,8,13,0,0,2000,1,11,战士,勇气呐喊的伤害提高
140,8,13,0,0,4000,1,11,战士,勇气呐喊的伤害提高
141,8,13,0,0,6000,1,11,战士,勇气呐喊的伤害提高
142,9,6,2,0,4000,1,107,战士,修改撼地重击昏迷的概率
143,9,6,2,0,6000,1,107,战士,修改撼地重击昏迷的概率
144,9,6,2,0,8000,1,107,战士,修改撼地重击昏迷的概率
145,9,6,2,0,10000,1,107,战士,修改撼地重击昏迷的概率
146,8,13,0,0,2000,1,40,战士,飓风的伤害提高
147,8,13,0,0,4000,1,40,战士,飓风的伤害提高
148,8,13,0,0,6000,1,40,战士,飓风的伤害提高
149,8,13,0,0,2000,1,13,战士,暴风斩的伤害提高
150,8,13,0,0,4000,1,13,战士,暴风斩的伤害提高
151,8,13,0,0,6000,1,13,战士,暴风斩的伤害提高
153,8,13,0,1,2000,1,14,战士,最后反击的伤害提高
154,8,13,0,1,4000,1,14,战士,最后反击的伤害提高
155,8,13,0,1,6000,1,14,战士,最后反击的伤害提高
156,7,0,1,0,5000,1,100501,战士,飓风的冷却时间下降
157,7,0,1,0,10000,1,100501,战士,飓风的冷却时间下降
158,7,0,1,0,15000,1,100501,战士,飓风的冷却时间下降
159,7,0,1,0,20000,1,100501,战士,飓风的冷却时间下降
160,10,30,0,0,1000,1,15,法师,闪电阵的持续时间增加1秒
161,10,30,0,0,2000,1,15,法师,闪电阵的持续时间增加2秒
162,10,30,0,0,3000,1,15,法师,闪电阵的持续时间增加3秒
163,10,30,0,0,4000,1,15,法师,闪电阵的持续时间增加4秒
164,9,6,2,0,10000,1,156,法师,闪电阵命中敌人恢复sp
165,9,9,0,0,5,1,156,法师,闪电阵命中敌人恢复sp增加
166,9,9,0,0,10,1,156,法师,闪电阵命中敌人恢复sp增加
167,9,9,0,0,15,1,156,法师,闪电阵命中敌人恢复sp增加
168,9,6,2,0,10000,1,157,法师,闪电阵附加伤害提高效果
169,9,9,2,0,1060,1,157,法师,闪电阵附加伤害提高效果
170,9,9,2,0,1061,1,157,法师,闪电阵附加伤害提高效果
171,9,9,2,0,1062,1,157,法师,闪电阵附加伤害提高效果
172,9,6,2,0,10000,1,109,法师,瞬间移动附加护盾效果
173,9,9,2,0,1078,1,109,法师,瞬间移动的护盾减伤效果提高
174,9,9,2,0,1079,1,109,法师,瞬间移动的护盾减伤效果提高
175,9,9,2,0,1080,1,109,法师,瞬间移动的护盾减伤效果提高
176,9,6,2,0,2500,1,110,法师,瞬间移动附加减速效果
177,9,6,2,0,5000,1,110,法师,瞬间移动附加减速效果
178,9,6,2,0,7500,1,110,法师,瞬间移动附加减速效果
179,9,6,2,0,10000,1,110,法师,瞬间移动附加减速效果
180,8,13,0,0,250,1,0,战士,战士基础攻击造成的伤害提高2.5%
181,8,13,0,0,500,1,0,战士,战士基础攻击造成的伤害提高5%
182,8,13,0,0,750,1,0,战士,战士基础攻击造成的伤害提高7.5%
183,9,6,2,0,2500,1,111,法师,暴风冰锥附加冰霜效果
184,9,6,2,0,5000,1,111,法师,暴风冰锥附加冰霜效果
185,9,6,2,0,7500,1,111,法师,暴风冰锥附加冰霜效果
186,9,6,2,0,10000,1,111,法师,暴风冰锥附加冰霜效果
187,9,6,2,0,10000,1,112,法师,瞬间移动使法师的攻击速度提高
188,9,9,2,0,1067,1,112,法师,瞬间移动使法师的攻击速度提高
189,9,9,2,0,1068,1,112,法师,瞬间移动使法师的攻击速度提高
190,9,9,2,0,1069,1,112,法师,瞬间移动使法师的攻击速度提高
191,8,0,1,0,10,1,18,法师,瞬间移动的SP消耗下降
192,8,0,1,0,20,1,18,法师,瞬间移动的SP消耗下降
193,8,0,1,0,30,1,18,法师,瞬间移动的SP消耗下降
194,8,0,1,0,40,1,18,法师,瞬间移动的SP消耗下降
195,8,13,0,0,1500,1,19,法师,暴风冰锥的伤害提高
196,8,13,0,0,3000,1,19,法师,暴风冰锥的伤害提高
197,8,13,0,0,4500,1,19,法师,暴风冰锥的伤害提高
198,8,13,0,0,6000,1,19,法师,暴风冰锥的伤害提高
199,8,13,0,0,2000,1,20,法师,冰刺的伤害提高
200,8,13,0,0,4000,1,20,法师,冰刺的伤害提高
201,8,13,0,0,6000,1,20,法师,冰刺的伤害提高
202,9,9,2,0,20000,1,165,法师,冰刺击飞的距离增加
203,9,9,2,0,25000,1,165,法师,冰刺击飞的距离增加
204,9,9,2,0,30000,1,165,法师,冰刺击飞的距离增加
205,9,10,0,0,1,1,116,游侠,弩箭射击发出的弩箭数增多
206,9,10,0,0,2,1,116,游侠,弩箭射击发出的弩箭数增多
