id,class,subclass,dropitem
0,0,0,$swordDrop01/drop_sword.prefab
1,0,1,$swordDrop01/drop_sword.prefab
2,0,2,$swordDrop01/drop_sword.prefab
3,0,3,$swordDrop01/drop_sword.prefab
4,0,4,$sheildDrop01/drop_sheild.prefab
5,0,5,$sheildDrop01/drop_sheild.prefab
6,0,6,$sheildDrop01/drop_sheild.prefab
7,0,7,$sheildDrop01/drop_sheild.prefab
8,1,0,$toukuiDrop01/drop_hat.prefab
9,1,1,$kuijiaDrop01/drop_coat.prefab
10,1,2,$wristbandDrop01/drop_glove.prefab
11,1,3,$lowerDrop01/lowerDrop01Prefab.prefab
12,1,4,$pifengDrop01/drop_cloak.prefab
13,2,0,$ringDrop01/drop_ring.prefab
14,2,1,$earingDrop01/ear_drop.prefab
15,2,2,$xianglianDrop01/drop_necklace.prefab
16,100,0,$collarDrop01/drop_pet_equip.prefab
17,100,1,$collarDrop01/drop_pet_equip.prefab
18,100,2,$collarDrop01/drop_pet_equip.prefab
19,101,0,$soulballDrop01/drop_pet.prefab
20,200,0,$qianbiDrop01/GoldCoin.prefab
21,200,1,$qiandaiDrop01/drop_qiandai.prefab
22,200,2,$treasureDrop01/drop_treasureDrop01.prefab
23,101,2,$soulballDrop01/drop_pet.prefab
