id,classID,condition,conditionParam,operation,operationParam,event,eventParam,isSave,isSkip,isLock
1,1,0,0,512,3,0,0,0,1,1
100,1,2,1,16,suodi,0,0,0,1,1
200,1,0,0,16,guide_skill1,0,0,0,1,1
300,1,0,0,16,btn_fightsetting,0,0,0,1,1
400,1,0,0,16,btn_medicine,0,0,0,1,1
600,1,0,0,4,14,0,0,0,1,1
700,1,0,0,256,0|32|400@100,0,0,0,1,0
800,1,0,0,32,Fx_Dianji_002,2,Guide_Trrgger1,0,1,0
900,1,0,0,16,Fx_Dianji_002,0,0,0,1,0
1000,1,0,0,4,2,0,0,0,1,0
1100,1,0,0,32,suodi,0,0,0,1,0
1200,1,0,0,256,0|17|400@-50,0,0,0,1,0
1300,1,12,guidedialogue(Clone),2,suodi,1,suodi,0,1,0
1400,1,10,Guide_area1,256,0|35|400@-50,0,0,0,1,0
1500,1,0,0,0,0,5,1,0,1,0
1600,1,12,guidedialogue(Clone),2,suodi,1,suodi,0,1,0
1700,1,9,Guide_trigger5,32,guide_skill1,0,0,0,1,0
1800,1,0,0,4,4,0,0,0,1,0
1900,1,0,0,2,guide_skill1,1,guide_skill1,0,1,0
2000,1,9,Guide_trigger4,256,0|18|-200@200,0,0,0,1,0
2100,1,0,0,512,2,0,0,0,1,0
2200,1,9,Guide_trigger3,4,15,0,0,0,1,0
2300,1,10,$orc_butcher_Prefab,4,8,0,0,1,1,0
2400,1,0,0,128,0,0,0,1,1,0
2700,2,12,kuangdong,16,Md_Plane_002,0,0,0,1,1
2800,2,11,0,4,9,0,0,0,1,1
2900,2,12,kuangdong,32,Md_Plane_002,0,0,0,1,1
3000,2,0,0,256,1|26|120@150,0,0,0,1,1
3100,2,0,0,2,kuangdong,1,kuangdong,0,1,1
3200,2,0,0,256,1|27|-100@230,0,0,0,1,1
3300,2,12,btn_level1,2,btn_level1,1,btn_level1,0,1,1
3400,2,12,bt_ok,512,1,0,0,0,1,1
3500,2,0,0,256,1|28|200@-100,0,0,0,1,1
3600,2,0,0,2,bt_ok|1,1,bt_ok,0,1,0
3700,2,3,11011,0,0,0,0,0,1,0
3800,2,12,btn_next,256,0|50|100@0,0,0,0,1,1
3900,2,0,0,2,btn_next,1,btn_next,0,1,0
3950,2,6,b1|b2|b3|b4,0,0,0,0,0,1,1
4000,2,12,btn_backtown,256,0|78|-200@-100,0,0,0,1,1
4100,2,0,0,2,btn_backtown,1,btn_backtown,1,1,1
4200,2,12,kuangdong,16,Md_Plane_002,0,0,0,1,1
4300,2,11,0,256,1|36|350@100,0,0,0,1,1
4400,2,12,guidedialogue(Clone),2,Btn_Push,1,Btn_Push,0,1,1
4500,2,0,0,256,0|10|100@30,0,0,0,1,1
4600,2,0,0,2,Btn_Skill,1,Btn_Skill,0,1,1
4700,2,0,0,256,0|19|100@120,0,0,0,1,1
4800,2,12,skill2,2,skill2,1,skill2,0,1,1
4900,2,0,0,256,0|23|0@-100,0,0,0,1,1
5000,2,12,passive1,2,passive1|1,1,passive1,0,1,1
5100,2,0,0,256,0|20|0@0,0,0,0,1,1
5200,2,12,btn_passivelearn,2,btn_passivelearn,1,btn_passivelearn,1,1,1
5300,2,0,0,256,0|39|-120@320,0,0,0,0,1
5400,2,0,0,2,close_tip,1,close_tip,0,0,1
5600,2,0,0,2,close_skill,1,close_skill,1,0,1
5700,2,12,kuangdong,4,13,0,0,0,1,1
5800,2,0,0,32,Md_Plane_002,0,0,0,1,1
5900,2,0,0,2,kuangdong,1,kuangdong,0,1,1
6000,2,12,btn_level2,2,btn_level2,1,btn_level2,0,1,1
6100,2,12,bt_ok,512,1,0,0,0,1,1
6200,2,0,0,2,bt_ok|1,1,bt_ok,0,1,0
6300,2,3,11021,0,0,0,0,0,1,0
6350,2,6,b1|b2|b3|b4,0,0,0,0,0,1,1
6400,2,12,btn_backtown,256,0|70|-200@-100,0,0,0,1,1
6500,2,0,0,2,btn_backtown,1,btn_backtown,1,1,1
6600,2,12,kuangdong,16,Md_Plane_002,0,0,0,1,1
6700,2,11,0,256,1|11|350@100,0,0,0,1,1
6800,2,12,guidedialogue(Clone),2,Btn_Push,1,Btn_Push,0,1,1
6900,2,0,0,256,0|22|100@150,0,0,0,1,1
7000,2,0,0,2,Btn_Bag,1,Btn_Bag,0,1,1
7100,2,0,0,256,0|33|250@0,0,0,0,1,1
7200,2,12,item,64,10000|40000|70000|100000,1,1,0,1,1
7300,2,0,0,256,0|34|100@0,0,0,0,1,1
7400,2,12,btn_tipEquip,2,btn_tipEquip|1,1,btn_tipEquip,1,1,1
7500,2,0,0,256,0|41|400@250,0,0,0,0,1
7600,2,0,0,2,close_role,1,close_role,0,0,1
7700,2,12,kuangdong,4,89,0,0,0,1,1
7800,2,0,0,32,Md_Plane_002,0,0,1,1,1
7900,2,0,0,2,kuangdong,1,kuangdong,0,1,1
8000,2,12,btn_level3,2,btn_level3,1,btn_level3,0,1,1
8100,2,12,bt_ok,512,1,0,0,0,1,1
8200,2,0,0,2,bt_ok|1,1,bt_ok,0,1,0
8300,2,3,11031,0,0,0,0,0,1,0
8350,2,6,b1|b2|b3|b4,0,0,0,0,0,1,1
8400,2,12,btn_backtown,256,0|80|-200@-100,0,0,0,1,0
8500,2,0,0,2,btn_backtown,1,btn_backtown,1,1,1
8510,2,12,Fx_Dianji_001,16,Fx_Dianji_001,0,0,0,1,1
8600,2,15,Btn_DoItemup,0,0,0,0,1,0,1
8700,2,11,0,256,1|42|350@100,0,0,0,1,1
8800,2,12,guidedialogue(Clone),2,Btn_Push,1,Btn_Push,0,1,0
8810,2,0,0,2,Btn_Bag,1,Btn_Bag,0,1,1
8821,2,12,btn_allequip,256,0|59|250@-120,0,0,0,1,0
8831,2,0,0,2,btn_allequip,1,btn_allequip,0,1,0
8841,2,0,0,256,0|83|400@250,0,0,0,0,0
8851,2,0,0,2,close_role,1,close_role,0,0,1
8861,2,12,Btn_DoItemup,256,0|84|150@-100,0,0,0,1,0
9000,2,0,0,2,Btn_DoItemup,1,Btn_DoItemup,0,1,1
9100,2,12,upItem,256,0|45|200@120,0,0,0,1,0
9200,2,0,0,2,upItem,1,upItem,0,1,1
9300,2,12,item,256,0|46|-350@320,0,0,0,1,0
9400,2,12,item,2048,10000|40000|70000|100000,1,1,0,1,0
9500,2,12,btn_setallitem,256,0|47|-250@-50,0,0,0,1,1
9700,2,12,btn_setallitem,2,btn_setallitem|1,1,btn_setallitem,0,1,0
9800,2,0,0,256,0|48|400@-150,0,0,0,1,0
9900,2,0,0,2,btn_beginup,1,btn_beginup,1,1,0
