Weapon_Type,AT_Armor,AT_Bone,AT_Dry,AT_Flesh,AT_Liquid,AT_Stone,AT_Ghost,AT_Leather,AT_Wood
arrow,clean_arrow_armor1.wav;clean_arrow_armor2.wav;clean_arrow_armor3.wav;clean_arrow_armor4.wav;clean_arrow_armor5.wav,clean_arrow_bone1.wav;clean_arrow_bone2.wav;clean_arrow_bone3.wav;clean_arrow_bone4.wav;clean_arrow_bone5.wav,clean_arrow_dry1.wav;clean_arrow_dry2.wav;clean_arrow_dry3.wav;clean_arrow_dry4.wav;clean_arrow_dry5.wav,clean_arrow_flesh1.wav;clean_arrow_flesh2.wav;clean_arrow_flesh3.wav;clean_arrow_flesh4.wav;clean_arrow_flesh5.wav,clean_arrow_liquid1.wav;clean_arrow_liquid2.wav;clean_arrow_liquid3.wav;clean_arrow_liquid4.wav;clean_arrow_liquid5.wav,clean_arrow_stone1.wav;clean_arrow_stone2.wav;clean_arrow_stone3.wav;clean_arrow_stone4.wav;clean_arrow_stone5.wav,hit_ghost.wav,hit_leather.wav,hit_wood.wav
dagger,clean_dagger_armor1.wav;clean_dagger_armor2.wav;clean_dagger_armor3.wav;clean_dagger_armor4.wav;clean_dagger_armor5.wav,clean_dagger_bone1.wav;clean_dagger_bone2.wav;clean_dagger_bone3.wav;clean_dagger_bone4.wav;clean_dagger_bone5.wav,clean_dagger_dry1.wav;clean_dagger_dry2.wav;clean_dagger_dry3.wav;clean_dagger_dry4.wav;clean_dagger_dry5.wav,clean_dagger_flesh1.wav;clean_dagger_flesh2.wav;clean_dagger_flesh3.wav;clean_dagger_flesh4.wav;clean_dagger_flesh5.wav,clean_dagger_liquid1.wav;clean_dagger_liquid2.wav;clean_dagger_liquid3.wav;clean_dagger_liquid4.wav;clean_dagger_liquid5.wav,clean_dagger_stone1.wav;clean_dagger_stone2.wav;clean_dagger_stone3.wav;clean_dagger_stone4.wav;clean_dagger_stone5.wav,hit_ghost.wav,hit_leather.wav,hit_wood.wav
glove,clean_gloves_armor_1.wav;clean_gloves_armor_2.wav;clean_gloves_armor_3.wav;clean_gloves_armor_4.wav;clean_gloves_armor_5.wav,clean_gloves_bone_1.wav;clean_gloves_bone_2.wav;clean_gloves_bone_3.wav;clean_gloves_bone_4.wav;clean_gloves_bone_5.wav,clean_gloves_dry_1.wav;clean_gloves_dry_2.wav;clean_gloves_dry_3.wav;clean_gloves_dry_4.wav;clean_gloves_dry_5.wav,clean_gloves_flesh_1.wav;clean_gloves_flesh_2.wav;clean_gloves_flesh_3.wav;clean_gloves_flesh_4.wav;clean_gloves_flesh_5.wav,clean_gloves_liquid_1.wav;clean_gloves_liquid_2.wav;clean_gloves_liquid_3.wav;clean_gloves_liquid_4.wav;clean_gloves_liquid_5.wav,clean_gloves_stone_1.wav;clean_gloves_stone_2.wav;clean_gloves_stone_3.wav;clean_gloves_stone_4.wav;clean_gloves_stone_5.wav,hit_ghost.wav,hit_leather.wav,hit_wood.wav
lance,clean_lance_armor_1.wav;clean_lance_armor_2.wav;clean_lance_armor_3.wav;clean_lance_armor_4.wav;clean_lance_armor_5.wav,clean_lance_bone_1.wav;clean_lance_bone_2.wav;clean_lance_bone_3.wav;clean_lance_bone_4.wav;clean_lance_bone_5.wav,clean_lance_dry_1.wav;clean_lance_dry_2.wav;clean_lance_dry_3.wav;clean_lance_dry_4.wav;clean_lance_dry_5.wav,clean_lance_flesh_1.wav;clean_lance_flesh_2.wav;clean_lance_flesh_3.wav;clean_lance_flesh_4.wav;clean_lance_flesh_5.wav,clean_lance_liquid_1.wav;clean_lance_liquid_2.wav;clean_lance_liquid_3.wav;clean_lance_liquid_4.wav;clean_lance_liquid_5.wav,clean_lance_stone_1.wav;clean_lance_stone_2.wav;clean_lance_stone_3.wav;clean_lance_stone_4.wav;clean_lance_stone_5.wav,clean_lance_ghost_2.wav,clean_lance_leather_1.wav,clean_lance_wood_1.wav
mace,clean_mace_armor1.wav;clean_mace_armor2.wav;clean_mace_armor3.wav;clean_mace_armor4.wav;clean_mace_armor5.wav,clean_mace_bone1.wav;clean_mace_bone2.wav;clean_mace_bone3.wav;clean_mace_bone4.wav;clean_mace_bone5.wav,clean_mace_dry1.wav;clean_mace_dry2.wav;clean_mace_dry3.wav;clean_mace_dry4.wav;clean_mace_dry5.wav,clean_mace_flesh1.wav;clean_mace_flesh2.wav;clean_mace_flesh3.wav;clean_mace_flesh4.wav;clean_mace_flesh5.wav,clean_mace_liquid1.wav;clean_mace_liquid2.wav;clean_mace_liquid3.wav;clean_mace_liquid4.wav;clean_mace_liquid5.wav,clean_mace_stone1.wav;clean_mace_stone2.wav;clean_mace_stone3.wav;clean_mace_stone4.wav;clean_mace_stone5.wav,hit_ghost.wav,hit_leather.wav,hit_wood.wav
staff,clean_staff_armor1.wav;clean_staff_armor2.wav;clean_staff_armor3.wav;clean_staff_armor4.wav;clean_staff_armor5.wav,clean_staff_bone1.wav;clean_staff_bone2.wav;clean_staff_bone3.wav;clean_staff_bone4.wav;clean_staff_bone5.wav,clean_staff_dry1.wav;clean_staff_dry2.wav;clean_staff_dry3.wav;clean_staff_dry4.wav;clean_staff_dry5.wav,clean_staff_flesh1.wav;clean_staff_flesh2.wav;clean_staff_flesh3.wav;clean_staff_flesh4.wav;clean_staff_flesh5.wav,clean_staff_liquid1.wav;clean_staff_liquid2.wav;clean_staff_liquid3.wav;clean_staff_liquid4.wav;clean_staff_liquid5.wav,clean_staff_stone1.wav;clean_staff_stone2.wav;clean_staff_stone3.wav;clean_staff_stone4.wav;clean_staff_stone5.wav,hit_ghost.wav,hit_leather.wav,hit_wood.wav
sword,clean_sword_dry_1.wav;clean_sword_dry_2.wav;clean_sword_dry_3.wav,clean_sword_dry_1.wav;clean_sword_dry_2.wav;clean_sword_dry_3.wav,clean_sword_dry_1.wav;clean_sword_dry_2.wav;clean_sword_dry_3.wav,clean_sword_flesh_1.wav;clean_sword_flesh_2.wav;clean_sword_flesh_3.wav,clean_sword_liquid_1.wav;clean_sword_liquid_2.wav;clean_sword_liquid_3.wav,clean_sword_stone_1.wav;clean_sword_stone_2.wav;clean_sword_stone_3.wav,hit_ghost.wav,hit_leather.wav,hit_wood.wav
twohandaxe,clean_twohandaxe_armor_2.wav;clean_twohandaxe_armor_3.wav;clean_twohandaxe_armor_4.wav;clean_twohandaxe_armor_5.wav,clean_twohandaxe_bone_2.wav;clean_twohandaxe_bone_3.wav;clean_twohandaxe_bone_4.wav;clean_twohandaxe_bone_5.wav,clean_twohandaxe_dry_2.wav;clean_twohandaxe_dry_3.wav;clean_twohandaxe_dry_4.wav;clean_twohandaxe_dry_5.wav,clean_twohandaxe_flesh_2.wav;clean_twohandaxe_flesh_3.wav;clean_twohandaxe_flesh_4.wav;clean_twohandaxe_flesh_5.wav,clean_twohandaxe_liquid_2.wav;clean_twohandaxe_liquid_3.wav;clean_twohandaxe_liquid_4.wav;clean_twohandaxe_liquid_5.wav,clean_twohandaxe_stone_1.wav;clean_twohandaxe_stone_2.wav;clean_twohandaxe_stone_3.wav;clean_twohandaxe_stone_4.wav;clean_twohandaxe_stone_5.wav,hit_ghost.wav,hit_leather.wav,hit_wood.wav
twohandsword,clean_twohandsword_armor_1.wav;clean_twohandsword_armor_2.wav;clean_twohandsword_armor_3.wav;clean_twohandsword_armor_4.wav;clean_twohandsword_armor_5.wav,clean_twohandsword_bone_1.wav;clean_twohandsword_bone_2.wav;clean_twohandsword_bone_3.wav;clean_twohandsword_bone_4.wav;clean_twohandsword_bone_5.wav,clean_twohandsword_dry_1.wav;clean_twohandsword_dry_2.wav;clean_twohandsword_dry_3.wav;clean_twohandsword_dry_4.wav;clean_twohandsword_dry_5.wav,clean_twohandsword_flesh_1.wav;clean_twohandsword_flesh_2.wav;clean_twohandsword_flesh_3.wav;clean_twohandsword_flesh_4.wav;clean_twohandsword_flesh_5.wav,clean_twohandsword_liquid_1.wav;clean_twohandsword_liquid_2.wav;clean_twohandsword_liquid_3.wav;clean_twohandsword_liquid_4.wav;clean_twohandsword_liquid_5.wav,clean_twohandsword_stone_1.wav;clean_twohandsword_stone_2.wav;clean_twohandsword_stone_3.wav;clean_twohandsword_stone_4.wav;clean_twohandsword_stone_5.wav,hit_ghost.wav,hit_leather.wav,hit_wood.wav
poison,hit_element_poison_1.wav;hit_element_poison_2.wav;hit_element_poison_3.wav,hit_element_poison_1.wav;hit_element_poison_2.wav;hit_element_poison_3.wav,hit_element_poison_1.wav;hit_element_poison_2.wav;hit_element_poison_3.wav,hit_element_poison_1.wav;hit_element_poison_2.wav;hit_element_poison_3.wav,hit_element_poison_1.wav;hit_element_poison_2.wav;hit_element_poison_3.wav,hit_element_poison_1.wav;hit_element_poison_2.wav;hit_element_poison_3.wav,hit_element_poison_1.wav;hit_element_poison_2.wav;hit_element_poison_3.wav,hit_element_poison_1.wav;hit_element_poison_2.wav;hit_element_poison_3.wav,hit_element_poison_1.wav;hit_element_poison_2.wav;hit_element_poison_3.wav
ice,hit_element_ice_1.wav;hit_element_ice_2.wav;hit_element_ice_3.wav,hit_element_ice_1.wav;hit_element_ice_2.wav;hit_element_ice_3.wav,hit_element_ice_1.wav;hit_element_ice_2.wav;hit_element_ice_3.wav,hit_element_ice_1.wav;hit_element_ice_2.wav;hit_element_ice_3.wav,hit_element_ice_1.wav;hit_element_ice_2.wav;hit_element_ice_3.wav,hit_element_ice_1.wav;hit_element_ice_2.wav;hit_element_ice_3.wav,hit_element_ice_1.wav;hit_element_ice_2.wav;hit_element_ice_3.wav,hit_element_ice_1.wav;hit_element_ice_2.wav;hit_element_ice_3.wav,hit_element_ice_1.wav;hit_element_ice_2.wav;hit_element_ice_3.wav
fire,hit_element_flame_1.wav;hit_element_flame_2.wav;hit_element_flame_3.wav,hit_element_flame_1.wav;hit_element_flame_2.wav;hit_element_flame_3.wav,hit_element_flame_1.wav;hit_element_flame_2.wav;hit_element_flame_3.wav,hit_element_flame_1.wav;hit_element_flame_2.wav;hit_element_flame_3.wav,hit_element_flame_1.wav;hit_element_flame_2.wav;hit_element_flame_3.wav,hit_element_flame_1.wav;hit_element_flame_2.wav;hit_element_flame_3.wav,hit_element_flame_1.wav;hit_element_flame_2.wav;hit_element_flame_3.wav,hit_element_flame_1.wav;hit_element_flame_2.wav;hit_element_flame_3.wav,hit_element_flame_1.wav;hit_element_flame_2.wav;hit_element_flame_3.wav
lightning,hit_element_shock_1.wav;hit_element_shock_5.wav;hit_element_shock_6.wav,hit_element_shock_1.wav;hit_element_shock_5.wav;hit_element_shock_6.wav,hit_element_shock_1.wav;hit_element_shock_5.wav;hit_element_shock_6.wav,hit_element_shock_1.wav;hit_element_shock_5.wav;hit_element_shock_6.wav,hit_element_shock_1.wav;hit_element_shock_5.wav;hit_element_shock_6.wav,hit_element_shock_1.wav;hit_element_shock_5.wav;hit_element_shock_6.wav,hit_element_shock_1.wav;hit_element_shock_5.wav;hit_element_shock_6.wav,hit_element_shock_1.wav;hit_element_shock_5.wav;hit_element_shock_6.wav,hit_element_shock_1.wav;hit_element_shock_5.wav;hit_element_shock_6.wav
