ID,ShowName,Name,Class,SubClass,Character,Expend,Quility,Level,Value,BindType,Count,MaxNum,ExistTime,NeedJob,NeedLevel,NeedSex,SetID,AttSpeed,Str,Int,Dex,Sta,Fai,MaxHP,MaxSP,HPtick,SPtick,AtkDmgMin,AtkDmgMax,Def,Pierce,Hit,Dodge,Cri,Flex,CriDmg,CriDmgDef,IceAtt,FireAtt,PoisonAtt,ThunderAtt,IceDef,FireDef,PoisonDef,ThunderDef,AttSpeedModPer,MoveSpeedModPer,Up1,Up2,Up3,EffectID1,EffectID2,EffectID3,RandomMin,RandomMax,Hole[0],Hole[1],Hole[2],UpMin,UpMax,CanUse,UseNum,CoolDownTime,SetTime,UseCondition,Effect,IconPath,Filename,FilenameW,FilePart,Description,SoundMat,IntExtra1,IntExtra2,IntExtra3,IntExtra4,StringExtra1,StringExtra2,StringExtra3,StringExtra4
10000,近卫队长之剑,战士出生武器-剑,0,0,0,0,2,1,1,0,0,1,0,2,1,0,,238,68,,,,,,,,,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z_s_201,Model/Weapons/longsword/$longsword_010lv_01_o01/longsword_010lv_01_o01.fbx,,longsword_010lv_01_o01,,,,,,,,,Str,
10001,近卫队长护盾,战士出生武器-盾,0,4,9,0,2,1,1,0,0,1,0,2,1,0,,,,,,,,898,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z_g_201,Model/Weapons/heavyshield/$heavyshield_010lv_01_o01/heavyshield_010lv_01_o01.fbx,,heavyshield_010lv_01_o01,,,,,,,,,Def,
10002,近卫队长头盔,战士出生帽子,1,0,1,0,2,1,1,0,0,1,0,2,1,0,,,,,,,,1012,,,5,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z_f_201,Model/Mdl_mainChar_0/$heavy_010lv_01_o01_hero/heavy_010lv_01_o01_hero.fbx,,face,,,,,,,,,MaxHP,
10003,近卫队长胸甲,战士出生上衣,1,1,2,0,2,1,1,0,0,1,0,2,1,0,,,,,,,,1139,,10,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z_u_201,Model/Mdl_mainChar_0/$heavy_010lv_01_o01_hero/heavy_010lv_01_o01_hero.fbx,,upper,,,,,,,,,MaxHP,
10004,近卫队长手套,战士出生手套,1,2,3,0,2,1,1,0,0,1,0,2,1,0,,,,,,,,1264,,,6,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z_h_201,Model/Mdl_mainChar_0/$heavy_010lv_01_o01_hero/heavy_010lv_01_o01_hero.fbx,,hands,,,,,,,,,MaxHP,
10005,近卫队长腿甲,战士出生下装,1,3,4,0,2,1,1,0,0,1,0,2,1,0,,,,,,,,1378,,8,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z_d_201,Model/Mdl_mainChar_0/$heavy_010lv_01_o01_hero/heavy_010lv_01_o01_hero.fbx,,lower,,,,,,,,,MaxHP,
10006,近卫队长披风,战士出生披风,1,4,5,0,2,1,1,0,0,1,0,2,1,0,,,,,,,,1499,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,z_c_201,Model/Mdl_mainChar_0/$heavy_010lv_01_o01_hero/heavy_010lv_01_o01_hero.fbx,,,赋予穿着者近卫队长的能力，此披风蕴含着近卫队长的意志，穿上可获得大量生命的增强,,,,,,,,MaxHP,
10007,近卫队长之戒,战士出生戒指,2,0,6,0,2,1,1,0,0,1,0,2,1,0,,,,,12,,,,,,,14,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r_201,,,,,,,,,,,,Dex,
10008,近卫队长之耳环,战士出生饰品,2,1,7,0,2,1,1,0,0,1,0,2,1,0,,,,20,,,,,,,,18,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,o_201,,,,,,,,,,,,Int,
10009,近卫队长之项链,战士出生项链,2,2,8,0,2,1,1,0,0,1,0,2,1,0,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n_201,,,,,,,,,,,,Fai,
