ID,ShowName,BattleID,Description
11011,受袭击的补给通道,1,地精和兽人的前序部队已经严重威胁到了大部队的补给线路，突击队队长卡特莉娜请你帮忙前往补给要道清除营地门口的地精和兽人！
11012,受袭击的补给通道,1,地精和兽人的前序部队已经严重威胁到了大部队的补给线路，突击队队长卡特莉娜请你帮忙前往补给要道清除营地门口的地精和兽人！
11013,受袭击的补给通道,1,地精和兽人的前序部队已经严重威胁到了大部队的补给线路，突击队队长卡特莉娜请你帮忙前往补给要道清除营地门口的地精和兽人！
11021,深入补给通道,1,营地门口的威胁已经除去，但敌人的后续大军已经在补给通道上驻扎，建起了营地，卡特莉娜请你帮忙，速去摧毁他们的营地！
11022,深入补给通道,1,营地门口的威胁已经除去，但敌人的后续大军已经在补给通道上驻扎，建起了营地，卡特莉娜请你帮忙，速去摧毁他们的营地！
11023,深入补给通道,1,营地门口的威胁已经除去，但敌人的后续大军已经在补给通道上驻扎，建起了营地，卡特莉娜请你帮忙，速去摧毁他们的营地！
11031,废弃的矿坑,1,经过一番查探，发现对补给道路发出袭击的那些敌人以一个废矿为据点建立了指挥中心，情报人员都已派出，卡特莉娜请你前去探查一番！
11032,废弃的矿坑,1,经过一番查探，发现对补给道路发出袭击的那些敌人以一个废矿为据点建立了指挥中心，情报人员都已派出，卡特莉娜请你前去探查一番！
11033,废弃的矿坑,1,经过一番查探，发现对补给道路发出袭击的那些敌人以一个废矿为据点建立了指挥中心，情报人员都已派出，卡特莉娜请你前去探查一番！
11041,矿坑二层,1,从探查的情况发现，矿坑共有三层，每层均有一名拥有特殊能力的士兵把守，只有击败这些敌人，才能见到突袭队负责人佐隆！
11042,矿坑二层,1,从探查的情况发现，矿坑共有三层，每层均有一名拥有特殊能力的士兵把守，只有击败这些敌人，才能见到突袭队负责人佐隆！
11043,矿坑二层,1,从探查的情况发现，矿坑共有三层，每层均有一名拥有特殊能力的士兵把守，只有击败这些敌人，才能见到突袭队负责人佐隆！
11051,矿坑三层,1,离佐隆藏身的地点已经很近了，卡特莉娜告诉你只要击败他手下的大将食人魔工头，即可见到佐隆！请你速去协助战斗吧！
11052,矿坑三层,1,离佐隆藏身的地点已经很近了，卡特莉娜告诉你只要击败他手下的大将食人魔工头，即可见到佐隆！请你速去协助战斗吧！
11053,矿坑三层,1,离佐隆藏身的地点已经很近了，卡特莉娜告诉你只要击败他手下的大将食人魔工头，即可见到佐隆！请你速去协助战斗吧！
11061,突击队队长室,1,胜利就在眼前，为了能彻底扫除补给通道的威胁，保证军队物资的顺利运达，请前往将造成这些破坏的罪魁祸首佐隆击败吧！
11062,突击队队长室,1,胜利就在眼前，为了能彻底扫除补给通道的威胁，保证军队物资的顺利运达，请前往将造成这些破坏的罪魁祸首佐隆击败吧！
11063,突击队队长室,1,胜利就在眼前，为了能彻底扫除补给通道的威胁，保证军队物资的顺利运达，请前往将造成这些破坏的罪魁祸首佐隆击败吧！
12011,埃尔库斯森林,2,从佐隆身上搜到的传令球发现暗之末裔决定启用埋伏于埃尔库斯森林的隐藏力量。为了一探虚实，队长卡特莉娜请你森林前去探查一番！
