LevelID,Time_S,Time_A,Time_B
11011,120,150,180
11012,120,150,180
11013,120,150,180
11021,120,150,180
11022,120,150,180
11023,120,150,180
11031,120,150,180
11032,120,150,180
11033,120,150,180
11041,120,150,180
11042,120,150,180
11043,120,150,180
11051,120,150,180
11052,120,150,180
11053,120,150,180
11061,120,150,180
11062,120,150,180
11063,120,150,180
12011,90,120,150
12012,90,120,150
12013,90,120,150
12021,90,120,150
12022,90,120,150
12023,90,120,150
12031,90,120,150
12032,90,120,150
12033,90,120,150
12041,90,120,150
12042,90,120,150
12043,90,120,150
12051,90,120,150
12052,90,120,150
12053,90,120,150
12061,90,120,150
12062,90,120,150
12063,90,120,150
13011,90,120,150
13012,90,120,150
13013,90,120,150
13021,90,120,150
13022,90,120,150
13023,90,120,150
13031,90,120,150
13032,90,120,150
13033,90,120,150
13041,90,120,150
13042,90,120,150
13043,90,120,150
13051,90,120,150
13052,90,120,150
13053,90,120,150
13061,90,120,150
13062,90,120,150
13063,90,120,150
14011,90,120,150
14012,90,120,150
14013,90,120,150
14021,90,120,150
14022,90,120,150
14023,90,120,150
14031,90,120,150
14032,90,120,150
14033,90,120,150
14041,90,120,150
14042,90,120,150
14043,90,120,150
14051,90,120,150
14052,90,120,150
14053,90,120,150
14061,90,120,150
14062,90,120,150
14063,90,120,150
21011,90,120,150
21012,90,120,150
21013,90,120,150
21021,90,120,150
21022,90,120,150
21023,90,120,150
21031,90,120,150
21032,90,120,150
21033,90,120,150
21041,90,120,150
21042,90,120,150
21043,90,120,150
21051,90,120,150
21052,90,120,150
21053,90,120,150
21061,90,120,150
21062,90,120,150
21063,90,120,150
22011,90,120,150
22012,90,120,150
22013,90,120,150
22021,90,120,150
22022,90,120,150
22023,90,120,150
22031,90,120,150
22032,90,120,150
22033,90,120,150
22041,90,120,150
22042,90,120,150
22043,90,120,150
22051,90,120,150
22052,90,120,150
22053,90,120,150
22061,90,120,150
22062,90,120,150
22063,90,120,150
23011,90,120,150
23012,90,120,150
23013,90,120,150
23021,90,120,150
23022,90,120,150
23023,90,120,150
23031,90,120,150
23032,90,120,150
23033,90,120,150
23041,90,120,150
23042,90,120,150
23043,90,120,150
23051,90,120,150
23052,90,120,150
23053,90,120,150
23061,90,120,150
23062,90,120,150
23063,90,120,150
24011,90,120,150
24012,90,120,150
24013,90,120,150
24021,90,120,150
24022,90,120,150
24023,90,120,150
24031,90,120,150
24032,90,120,150
24033,90,120,150
24041,90,120,150
24042,90,120,150
24043,90,120,150
24051,90,120,150
24052,90,120,150
24053,90,120,150
24061,90,120,150
24062,90,120,150
24063,90,120,150
