dwTemplateID,strName,byShape,byDamegePro,byJob,dwCostSP,dwIgnoreAction,byTargetType,dwHitPer,dwCriticalPer,dwCriticalDmgPer,wAoeAimNum,nAoeArea,byAoeCenterType,nAoeCenterData,byAoeAreaType,nAoeAreaData,byIgnoreDef,dwIgnoreDefendAmount,dwDamagePer,naMoreDamagePer[MONSTER_BODY_TYPE_max],bySkillEffect,dwDirectDmgMin,dwDirectDmgMax,dwDmg[10],dwAtkPowerPer[10],sSkillEffectSelf[8],sSkillEffect[8],sSkillEffectHitPoint[8],Description,icon,ParentID,hitPoint,EffectAnchor,EffectStartTime,EffectFile,EffectLifeTime,SkillTimerTrigger,SkillTimerInterval,MoveSpeed,MoveBeginTime,MoveEndTime,RotateBeginTime,RotateEndTime,shakeCamera,ShakeLevel,AudioConf,AudioStartTime,ClassName,CastDistance,SelfEffect,SelfEffectLife,ExplosionEffect,ExplosionEffectLife,HitEffect,HitEffectRotate,HitEffectLife,HitDummy,animation,AnimFadeTime,WeaponTrailLife,WeaponTrailDisappear,WeaponTrailLength,WeaponTrailDelay,Enable,CalcDamage,ZoomInStartTime,ZoomInEndTime,ZoomInLevel
10001,普攻-洞鼠,0,0,0,0,0,5,0,0,0,20,1500,0,0,5,45,0,0,10000,0;0;0;0,0,0,0,0,10000,,,,前方普通攻击伤害,,0,5000,,,,,0,0,0,0,0,0,0,0,0,,100,sdBaseState,1200,,0,,0,,1,600,1,,0,0,0,0,0,1,1,0,0,0
10002,普攻-地精监视兵,0,0,0,0,0,5,0,0,0,20,1500,0,0,5,90,0,0,10000,0;0;0;0,0,0,0,0,10000,,,,前方普通攻击伤害,,0,5500,,,,,0,0,0,0,0,0,0,0,0,,100,sdBaseState,1200,,0,,0,,1,600,1,,0,0,0,0,0,1,1,0,0,0
10003,普攻-狂暴者佐隆,0,0,0,0,0,5,0,0,0,20,2500,0,0,5,90,0,0,10000,0;0;0;0,0,0,0,0;0;0;0;0;0;0;0;0;0,3000;1500;1500;1500;1500;1500;1500;1500;1500;1500,,,,前方普通攻击伤害,,0,780;1360;1740;2000;2430;2800;3100;3470;3800;4160,,,,,0,0,0,0,0,0,0,0,0,,100,sdBaseState,1200,,0,,0,,1,600,1,,0,0,0,0,0,1,1,0,0,0
1001,普攻-地精小偷,0,0,0,0,0,5,0,0,0,20,1500,0,0,5,45,0,0,10000,0;0;0;0,0,0,0,0,10000,,,,前方普通攻击伤害,,0,4300,,,,,0,0,0,0,0,0,0,0,0,monster_sound/$mon_kobold_soldier_attack_1.wav,100,sdBaseState,1200,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,1,600,1,,0,0,0,0,0,1,1,0,0,0
1002,普攻-兽人掠夺者,0,0,0,0,0,5,0,0,0,20,2500,0,0,5,90,0,0,10000,0;0;0;0,0,0,0,0,10000,,,,前方普通攻击伤害,,0,5400,,,,,0,0,0,0,0,0,0,0,0,monster_sound/$mon_ogre_worker_attack_a.wav,100,sdBaseState,2000,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,1,600,1,,0,0,0,0,0,1,1,0,0,0
1003,普攻-简易帐篷,0,0,0,0,0,5,0,0,0,20,1500,0,0,5,45,0,0,10000,0;0;0;0,0,0,0,0,10000,,,,,,0,0,,,,,0,0,0,0,0,0,0,0,0,,100,sdBaseState,1200,,0,,0,,1,600,1,,0,0,0,0,0,1,1,0,0,0
1004,普攻-豺狼人侦察兵（boss）,0,0,0,0,0,5,0,0,0,20,1500,0,0,5,90,0,0,10000,0;0;0;0,0,0,0,0,10000,,1001,,对前方射出3只弩箭,,0,600,,,,,0,0,0,0,0,0,0,0,0,monster_sound/$mon_gnoll_scout_attack_a.wav,100,sdBaseState,10000,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,1,600,1,,0,0,0,0,0,1,0,0,0,0
1005,普攻-洞鼠,0,0,0,0,0,5,0,0,0,20,1000,0,0,5,45,0,0,10000,0;0;0;0,0,0,0,0,10000,,,,前方普通攻击伤害,,0,5000,,,,,0,0,0,0,0,0,0,0,0,monster_sound/$mon_brown_rat_normal_attack_1.wav,100,sdBaseState,800,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,1,600,1,,0,0,0,0,0,1,1,0,0,0
1006,普攻-地精士兵,0,0,0,0,0,5,0,0,0,20,1500,0,0,5,45,0,0,10000,0;0;0;0,0,0,0,0,10000,,,,前方普通攻击伤害,,0,4700,,,,,0,0,0,0,0,0,0,0,0,monster_sound/$mon_kobold_soldier_attack_1.wav,100,sdBaseState,1200,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,1,600,1,,0,0,0,0,0,1,1,0,0,0
1007,普攻-地精监视兵boss,0,0,0,0,0,5,0,0,0,20,1500,0,0,5,90,0,0,10000,0;0;0;0,0,0,0,0,10000,,1015,,地精监视兵发射投石,,0,2700,,,,,0,0,0,0,0,0,0,0,0,monster_sound/$mon_gnoll_arbalester_attack_a.wav,100,sdBaseState,10000,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,1,600,1,,0,0,0,0,0,1,0,0,0,0
