uid,dwTemplateID,strName,dwClassID,byLevel,byIsPassive,byShape,byDamegePro,byJob,nLearnLevel,dwTotalSkillTreePoint,dwCostSkillPoint,byWeaponFlag,dwCostSP,byIsLead,bypreparetimes,byPeriodicDamage,dwPeriodicTraumaHP,byDamageFrequency,dwCooldown,Buffid,Description,icon,Index,parentid,NextLevel,UnLimited
10001,1001,普攻-洞鼠,10001,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
10002,1001,普攻-地精监视兵,10002,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
10003,1001,普攻-狂暴者佐隆,10003,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1001,1001,普攻-地精小偷,1001,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1002,1001,普攻-兽人掠夺者,1002,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1003,1001,普攻-简易帐篷,1003,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1004,1001,普攻-豺狼人侦察兵,1004,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3000,0,,0,1,0,0,0
1005,1001,普攻-洞鼠,1005,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1006,1001,普攻-地精士兵,1006,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1007,1001,普攻-地精监视兵,1007,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1008,1001,普攻-警卫狼狗,1008,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1009,1001,普攻-地精炸弹技术者,1009,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1010,1001,普攻-食人魔工人,1010,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1011,1001,普攻-狂暴者佐隆,1011,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3000,0,,0,1,0,0,0
1012,1001,普攻-史莱姆,1012,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1013,1001,普攻-森林狼,1013,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1014,1001,普攻-曼陀罗,1014,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1015,1001,普攻-森林蜘蛛,1015,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1016,1001,普攻-森林小恶魔,1016,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1017,1001,普攻-幼虫小恶魔,1017,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1018,1001,普攻-特林特,1018,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1019,1001,普攻-小洞穴蜘蛛,1019,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1020,1001,普攻-母洞穴蜘蛛,1020,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1021,1001,普攻-岩石精灵,1021,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3000,0,,0,1,0,0,0
1022,1001,普攻-兽人精灵术士,1022,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1023,1001,普攻-愤怒岩石精灵,1023,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3000,0,,0,1,0,0,0
1024,1001,普攻-岩石巨人,1024,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4000,0,,0,1,0,0,0
1025,1001,普攻-古代岩石巨人,1025,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5000,0,,0,1,0,0,0
1026,1001,普攻-乌鸦,1026,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1027,1001,普攻-军团狼,1027,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1028,1001,普攻-地精警卫兵,1028,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1029,1001,普攻-兽人突击兵,1029,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1030,1001,普攻-食人魔勇士,1030,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2500,0,,0,1,0,0,0
1031,1001,普攻-蝙蝠,1031,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1032,1001,普攻-地精精锐兵,1032,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1033,1001,普攻-豺狼人弩箭手,1033,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3500,0,,0,1,0,0,0
1034,1001,普攻-兽人分队长,1034,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1035,1001,普攻-守门将克列加尔,1035,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1036,1001,普攻-地精喇叭手,1036,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1037,1001,普攻-守门将贝格尔,1037,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1038,1001,普攻-守门将卡斯帕,1038,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3500,0,,0,1,0,0,0
1039,1001,普攻-独眼龙托尔波,1039,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1040,1001,普攻-地精御林军,1040,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1041,1001,普攻-豺狼人狙击手,1041,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1042,1001,普攻-百发百中的赛波,1042,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3500,0,,0,1,0,0,0
1043,1001,普攻-刽子手贝克塔鲁,1043,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1044,1001,普攻-兽人百夫长,1044,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1045,1001,普攻-达人塔姆,1045,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
1046,1001,普攻-屠杀者隆多,1046,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7000,0,,0,1,0,0,0
1047,1001,普攻-兽人屠杀者,1047,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7000,0,,0,1,0,0,0
1048,1001,普攻-学徒阿尔贝托,1048,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2000,0,,0,1,0,0,0
