StageId,NpcName,NpcModel,DialogueType,DialogueSequence,DialogueEnd,DialogueContent,portrait,NpcShow,NpcNoShow
11011,卡特莉娜,human_katrina_prefab,0,1,0,欢迎你的加入！我是突击队队长卡特莉娜。蕾安娜已经向我汇报了你的卓越表现，我很满意。突击队现在正需要像你这样的勇士！,1_Katrina,0,0
11011,卡特莉娜,human_katrina_prefab,0,2,1,看到那些地精和兽人了么？这些讨厌的怪物已经严重阻碍了大部队的补给线路，真是让人气愤！必须要尽快清理掉这些家伙！请你能帮助我们清除营地门口的地精和兽人，再次打通补给线路！,1_Katrina,0,0
11021,卡特莉娜,human_katrina_prefab,0,1,0,敌人的大军在补给通道上建起了营地，似乎有了增援的预兆。不能让他们再这样猖狂下去了！,1_Katrina,0,0
11021,卡特莉娜,human_katrina_prefab,0,2,1,一定要将这条补给道路清理出来！你是我们中实力最突出的那个，希望你不会让我失望。,1_Katrina,0,0
11031,卡特莉娜,human_katrina_prefab,0,1,0,侦察兵发现敌人占领了一个废矿作为指挥中心。真是可恶！看来只清理这条道路是远远不够的。我们必须摧毁他们的据点才不会有后顾之忧！,1_Katrina,0,0
11031,卡特莉娜,human_katrina_prefab,0,2,1,现在侦察兵都派出去了，就由你潜入废矿去调查一下吧！要小心那些丢炸弹的家伙！,1_Katrina,0,0
11041,卡特莉娜,human_katrina_prefab,0,1,0,从探查的情况看，矿坑一共有3层。每一层都有敌人的精英部队把守。,1_Katrina,0,0
11041,卡特莉娜,human_katrina_prefab,0,2,1,只有击败每一层的敌人，才能见到他们的头目佐隆。我们的目标就是除掉佐隆！,1_Katrina,0,0
11051,卡特莉娜,human_katrina_prefab,0,1,1,干得漂亮！现在我们离佐隆的藏身地已经很近了！只要击败他手下的大将兽人工头，佐隆的亲卫队就彻底瓦解了！,1_Katrina,0,0
11061,卡特莉娜,human_katrina_prefab,0,1,1,胜利就在眼前！终于要面对罪魁祸首佐隆了！让我们彻底扫除补给通道的威胁，保证军队物资的顺利运达！,1_Katrina,0,0
12011,埃尔库斯,elkus_prefab,0,1,0,我是森林的守护者，埃尔库斯。年轻人，你好。卡特莉娜队长从佐隆身上搜到了一颗传令球，发现暗之末裔要启用埋伏于埃尔库斯森林内的隐藏力量。,6_Elkus,0,0
12011,埃尔库斯,elkus_prefab,0,2,1,这让人无法安心，听说你除掉了佐隆，不知道我这个老人能不能拜托你帮我一起守护一下这个森林呢？,6_Elkus,0,0
12021,埃尔库斯,elkus_prefab,0,1,1,森林中的气息正变的越来越浑浊……所有的动物都变得狂躁起来……一定有什么事情发生了……那些可怜的孩子们，现在一定忍受着巨大的折磨……发生在森林的这一切真是让人悲伤……,6_Elkus,0,0
12031,埃尔库斯,elkus_prefab,0,1,0,多亏了你！现在一切都清楚了！黑暗势力的目标也许是这片土地上的古代的生灵……,6_Elkus,0,0
12031,埃尔库斯,elkus_prefab,0,2,1,我还需要一点时间来追寻这股力量的源头，在西北部的山丘上还有一些可怜的小家伙，在这段时间里请你继续帮助这个悲伤的森林……,6_Elkus,0,0
12041,埃尔库斯,elkus_prefab,0,1,0,我已经弄清楚了，暗之末裔使用的是黑暗精灵术，它能使自然中的精灵堕落并被黑暗势力所驱使。,6_Elkus,0,0
12041,埃尔库斯,elkus_prefab,0,2,1,看来他们的目标是古代岩石巨人……能不能麻烦你去岩石精灵洞穴阻止他们呢……,6_Elkus,0,0
12051,埃尔库斯,elkus_prefab,0,1,0,精灵洞穴第一层已经被暗之后裔控制了，第二层的岩石精灵好像已经开始狂暴了……但有我这个老人居然感受不到二层有暗之后裔的气息，这些岩石精灵似乎都处于不可控制的状态……,6_Elkus,0,0
12051,埃尔库斯,elkus_prefab,0,2,1,嗯，我还是要亲自去看看，这里就拜托你了，孩子。,6_Elkus,0,0
12061,埃尔库斯,elkus_prefab,0,1,0,是塔镭精髓的堕落导致这些岩石精灵处于狂暴的状态，暗之末裔真的在谋划什么，现在最不希望看到的事情已经发生了……,6_Elkus,0,0
12061,埃尔库斯,elkus_prefab,0,2,1,古代岩石巨人已经被唤醒，它力大无穷且不受控制……现在已经没有任何退路，只能请你将它打败……让森林重新接受这个孩子吧……,6_Elkus,0,0
13011,卡特莉娜,human_katrina_prefab,0,1,0,埃尔库斯森林的事情我都知道了，你做的很好。突击队能有你这样的勇士，我感到非常自豪！现在威胁已经解除，我们也该给他们点颜色瞧瞧了！,1_Katrina,0,0
