dwID,szName,byOperationType,dwOperationPara0,dwOperationPara1,dwOperationPara2,dwOperationPara3,dwOperationPara4
1,附加BUFF1层,3,1,0,0,0,
2,附加状态,2,0,0,0,0,
3,恢复HP百分比,1,0,0,0,1,
4,恢复SP百分比,1,1,0,0,1,
5,恢复HP固定值,1,0,0,0,0,
6,恢复SP固定值,1,1,0,0,0,
7,进行buff伤害,5,0,0,0,0,
8,增加技能点,6,0,0,0,0,
9,使技能进入冷却,7,0,0,0,0,
10,使具体技能冷却结束,8,0,0,0,0,
11,使具体技能冷却减少固定时间,8,0,1,0,0,
12,使具体技能冷却减少百分比,8,0,1,1,0,
13,打断技能释放,9,0,0,0,0,
14,召唤怪物,10,0,0,0,0,
15,360度召唤召唤物,10,1,0,360,0,
16,120度召唤召唤物,10,1,0,120,0,
17,180度召唤召唤物,10,1,0,180,0,
18,驱散指定buff,4,2,0,0,0,
19,调用action,12,0,0,0,0,
20,连招操作,13,0,0,0,0,
21,360度召唤会跟踪的召唤物,10,1,0,360,1,
22,拖拽目标,11,1,0,0,0,
23,击退目标（25%概率播动作）,11,0,2500,0,0,
24,按攻击力恢复HP,14,0,0,15,0,
25,按攻击力恢复HP,14,0,0,12,0,
26,30度召唤召唤物,10,1,0,30,0,
27,90度召唤召唤物,10,1,0,90,0,
28,击退目标（10%概率播动作）,11,0,1000,0,0,
29,击退目标（100%概率播动作）,11,0,10000,0,0,
30,击退目标（不播动作）,11,0,0,0,0,
31,真击退目标,11,0,10000,1,0,
32,45度召唤召唤物,10,1,0,45,0,
33,30度召唤召唤物（朝向会自动选择）,10,1,0,30,2,
34,45度召唤召唤物（朝向会自动选择）,10,1,0,45,2,
35,90度召唤召唤物（朝向会自动选择）,10,1,0,90,2,
36,120度召唤召唤物（朝向会自动选择）,10,1,0,120,2,
37,180度召唤召唤物（朝向会自动选择）,10,1,0,180,2,
38,360度召唤召唤物（朝向会自动选择）,10,1,0,360,2,
39,60度召唤召唤物,10,1,0,60,0,
40,60度召唤召唤物（朝向会自动选择）,10,1,0,60,2,
41,消失,18,0,0,0,0,
42,朝目标所在地点召唤召唤物,17,0,360,0,15000,0
43,朝目标所在地点丢召唤物,17,1,180,1500,15000,1500
44,朝随机地点召唤召唤物,17,2,360,0,15000,0
45,朝随机地点丢召唤物,17,3,180,1500,15000,2000
46,指定地点召唤召唤物,17,4,360,1000,5000,2000
47,减少HP百分比,1,0,1,0,1,
48,减少SP百分比,1,1,1,0,1,
49,减少HP固定值,1,0,1,0,0,
50,减少SP固定值,1,1,1,0,0,
51,指定地点丢召唤物,17,5,360,1000,5000,2000
52,朝目标所在地点丢召唤物（无预警）,17,1,120,0,15000,0
53,朝前方闪现,19,0,0,0,0,0
54,朝后方闪现,19,1,0,0,0,0
55,朝目标前方闪现,19,2,360,0,1500,0
56,朝目标背后闪现,19,3,360,0,1500,0
57,前方2米召唤召唤物,17,5,120,0,2000,0
58,前方6米召唤召唤物,17,5,120,0,5000,0
59,前方10米召唤召唤物,17,5,120,0,8000,0
60,前方14米召唤召唤物,17,5,120,0,11000,0
61,前方4米召唤召唤物,17,5,120,0,5000,0
