Index,Job,Level,Exp
10001,1,1,60
10002,1,2,103
10003,1,3,148
10004,1,4,196
10005,1,5,247
10006,1,6,315
10007,1,7,387
10008,1,8,464
10009,1,9,546
10010,1,10,633
10011,1,11,726
10012,1,12,834
10013,1,13,948
10014,1,14,1068
10015,1,15,1194
10016,1,16,1326
10017,1,17,1465
10018,1,18,1630
10019,1,19,1802
10020,1,20,1981
10021,1,21,2167
10022,1,22,2360
10023,1,23,2560
10024,1,24,2796
10025,1,25,3043
10026,1,26,3301
10027,1,27,3821
10028,1,28,4369
10029,1,29,4946
10030,1,30,6410
10031,1,31,7962
10032,1,32,9605
10033,1,33,11340
10034,1,34,13170
10035,1,35,15098
10036,1,36,17732
10037,1,37,20500
10038,1,38,23404
10039,1,39,26449
10040,1,40,29637
10041,1,41,32971
10042,1,42,36857
10043,1,43,40913
10044,1,44,45143
10045,1,45,49550
10046,1,46,54137
10047,1,47,58908
10048,1,48,64124
10049,1,49,69541
10050,1,50,75162
10051,1,51,80990
10052,1,52,87029
10053,1,53,93282
10054,1,54,100074
10055,1,55,107098
10056,1,56,114359
10057,1,57,121859
10058,1,58,129603
10059,1,59,137593
10060,1,60,148171
10061,1,61,159084
10062,1,62,170338
10063,1,63,181937
10064,1,64,193887
10065,1,65,206192
10066,1,66,219431
10067,1,67,233052
10068,1,68,247060
10069,1,69,261460
10070,1,70,276258
10071,1,71,291458
10072,1,72,294162
10073,1,73,296933
10074,1,74,299771
10075,1,75,302677
10076,1,76,305652
10077,1,77,308696
10078,1,78,311810
10079,1,79,314995
10080,1,80,318252
10081,1,81,321581
10082,1,82,324983
10083,1,83,328459
10084,1,84,332009
10085,1,85,335634
10086,1,86,339335
10087,1,87,343113
10088,1,88,346968
10089,1,89,350901
10090,1,90,358206
10091,1,91,365656
10092,1,92,373253
10093,1,93,380998
10094,1,94,388893
10095,1,95,396938
10096,1,96,405135
10097,1,97,413486
10098,1,98,421991
10099,1,99,430652
10100,1,100,439470
10101,1,101,448446
10102,1,102,457582
10103,1,103,466878
10104,1,104,476337
10105,1,105,485959
10106,1,106,495745
10107,1,107,505697
10108,1,108,515816
10109,1,109,526103
10110,1,110,536560
10111,1,111,547188
10112,1,112,557988
10113,1,113,568961
10114,1,114,580108
10115,1,115,591431
10116,1,116,602931
10117,1,117,614609
10118,1,118,626467
10119,1,119,638505
10120,1,120,0
40001,4,1,60
40002,4,2,103
40003,4,3,148
40004,4,4,196
40005,4,5,247
40006,4,6,315
40007,4,7,387
40008,4,8,464
40009,4,9,546
40010,4,10,633
40011,4,11,726
40012,4,12,834
40013,4,13,948
40014,4,14,1068
40015,4,15,1194
40016,4,16,1326
40017,4,17,1465
40018,4,18,1630
40019,4,19,1802
40020,4,20,1981
40021,4,21,2167
40022,4,22,2360
40023,4,23,2560
40024,4,24,2796
40025,4,25,3043
40026,4,26,3301
40027,4,27,3821
40028,4,28,4369
40029,4,29,4946
40030,4,30,6410
40031,4,31,7962
40032,4,32,9605
40033,4,33,11340
40034,4,34,13170
40035,4,35,15098
40036,4,36,17732
40037,4,37,20500
40038,4,38,23404
40039,4,39,26449
40040,4,40,29637
40041,4,41,32971
40042,4,42,36857
40043,4,43,40913
40044,4,44,45143
40045,4,45,49550
40046,4,46,54137
40047,4,47,58908
40048,4,48,64124
40049,4,49,69541
40050,4,50,75162
40051,4,51,80990
40052,4,52,87029
40053,4,53,93282
40054,4,54,100074
40055,4,55,107098
40056,4,56,114359
40057,4,57,121859
40058,4,58,129603
40059,4,59,137593
40060,4,60,148171
40061,4,61,159084
40062,4,62,170338
40063,4,63,181937
40064,4,64,193887
40065,4,65,206192
40066,4,66,219431
40067,4,67,233052
40068,4,68,247060
40069,4,69,261460
40070,4,70,276258
40071,4,71,291458
40072,4,72,294162
40073,4,73,296933
40074,4,74,299771
40075,4,75,302677
40076,4,76,305652
40077,4,77,308696
40078,4,78,311810
40079,4,79,314995
40080,4,80,318252
40081,4,81,321581
40082,4,82,324983
40083,4,83,328459
40084,4,84,332009
40085,4,85,335634
40086,4,86,339335
40087,4,87,343113
40088,4,88,346968
40089,4,89,350901
40090,4,90,358206
40091,4,91,365656
40092,4,92,373253
40093,4,93,380998
40094,4,94,388893
40095,4,95,396938
40096,4,96,405135
40097,4,97,413486
40098,4,98,421991
40099,4,99,430652
40100,4,100,439470
40101,4,101,448446
40102,4,102,457582
40103,4,103,466878
40104,4,104,476337
40105,4,105,485959
40106,4,106,495745
40107,4,107,505697
40108,4,108,515816
40109,4,109,526103
40110,4,110,536560
40111,4,111,547188
40112,4,112,557988
40113,4,113,568961
40114,4,114,580108
40115,4,115,591431
40116,4,116,602931
40117,4,117,614609
40118,4,118,626467
40119,4,119,638505
40120,4,120,0
70001,7,1,60
70002,7,2,103
70003,7,3,148
70004,7,4,196
70005,7,5,247
70006,7,6,315
70007,7,7,387
70008,7,8,464
70009,7,9,546
70010,7,10,633
70011,7,11,726
70012,7,12,834
70013,7,13,948
70014,7,14,1068
70015,7,15,1194
70016,7,16,1326
70017,7,17,1465
70018,7,18,1630
70019,7,19,1802
70020,7,20,1981
70021,7,21,2167
70022,7,22,2360
70023,7,23,2560
70024,7,24,2796
70025,7,25,3043
70026,7,26,3301
70027,7,27,3821
70028,7,28,4369
70029,7,29,4946
70030,7,30,6410
70031,7,31,7962
70032,7,32,9605
