dwTemplateID,strName,dwClassID,byLevel,byIsPassive,NextLevel,byShape,byDamegePro,byJob,nLearnLevel,dwTotalSkillTreePoint,dwCostSkillPoint,byWeaponFlag,dwCostSP,dwIgnoreAction,byIsLead,dwPrepareTime,bypreparetimes,byDamageFrequency,dwCooldown,byTargetType,dwHitPer,dwCriticalPer,dwCriticalDmgPer,wAoeAimNum,nAoeArea,byAoeCenterType,nAoeCenterData,byAoeAreaType,nAoeAreaData,byIgnoreDef,dwIgnoreDefendAmount,dwDamagePer,naMoreDamagePer[MONSTER_BODY_TYPE_max],byPeriodicDamage,dwPeriodicTraumaHP,bySkillEffect,dwDirectDmgMin,dwDirectDmgMax,dwDmg[10],dwAtkPowerPer[10],sSkillEffectSelf[6],sSkillEffect[8][10],strScriptName,Description,icon,ParentID,Index,stageicon0,stageicon1,stageicon2,stageicon3
1002,前翻滚,1002,1,0,0,1,0,1,1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,战士冲刺技能，向面对的方向翻滚出一定距离。,Roll_c,0,1,Roll_c,Roll_c,Roll_c,Roll_c
1202,钢铁意志,1202,1,1,1203,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,前滚翻后，防御力提高5%，持续3秒。,BodyExercise,1002,0,,,,
1203,钢铁意志,1202,2,1,1204,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,前滚翻后，防御力提高10%，持续3秒,BodyExercise,1002,0,,,,
1204,钢铁意志,1202,3,1,1205,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,前滚翻后，防御力提高15%，持续3秒,BodyExercise,1002,0,,,,
1205,钢铁意志,1202,4,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,前滚翻后，防御力提高20%，持续3秒,BodyExercise,1002,0,,,,
1206,无情打击,1206,1,1,1207,1,0,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,前滚翻后，对落地点半径3米内的所有目标造成移动速度下降10%的效果，持续2秒,BodyFit,1002,1,,,,
1207,无情打击,1206,2,1,1208,1,0,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,前滚翻后，对落地点半径3米内的所有目标造成移动速度下降20%的效果，持续2秒,BodyFit,1002,1,,,,
1208,无情打击,1206,3,1,1209,1,0,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,前滚翻后，对落地点半径3米内的所有目标造成移动速度下降30%的效果，持续2秒,BodyFit,1002,1,,,,
1209,无情打击,1206,4,1,0,1,0,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,前滚翻后，对落地点半径3米内的所有目标造成移动速度下降40%的效果，持续2秒,BodyFit,1002,1,,,,
1210,狂怒攻击,1210,1,1,1211,1,0,1,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,前滚翻后，伤害提高3%，持续3秒,StrongBody,1002,2,,,,
1211,狂怒攻击,1210,2,1,1212,1,0,1,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,前滚翻后，伤害提高6%，持续3秒,StrongBody,1002,2,,,,
1212,狂怒攻击,1210,3,1,1213,1,0,1,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,前滚翻后，伤害提高9%，持续3秒,StrongBody,1002,2,,,,
1213,狂怒攻击,1210,4,1,0,1,0,1,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,前滚翻后，伤害提高12%，持续3秒,StrongBody,1002,2,,,,
1214,技巧大师,1214,1,1,1215,1,0,1,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,前滚翻的SP消耗下降5点,TrueWarrior,1002,3,,,,
1215,技巧大师,1214,2,1,1216,1,0,1,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,前滚翻的SP消耗下降10点,TrueWarrior,1002,3,,,,
1216,技巧大师,1214,3,1,1217,1,0,1,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,前滚翻的SP消耗下降15点,TrueWarrior,1002,3,,,,
1217,技巧大师,1214,4,1,0,1,0,1,1,24,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,前滚翻的SP消耗下降20点,TrueWarrior,1002,3,,,,
1001,长剑挥砍,1001,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,20,1500,0,0,5,90,0,0,10000,{0，0，0，0},0,0,0,0,0,,{9300},,,,使用基本攻击攻击敌人，对前方的敌人造成93%的伤害，并恢复30点SP。,SwordSlash_c,0,0,SwordSlash_c,SwordSlash_c,SwordSlash_c,SwordSlash_c
1032,气合斩击,1032,1,1,1033,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,前滚翻后1秒内使用基础攻击，释放气合斩，对前方的敌人造成280%的伤害。,qihe,1001,0,,,,
1033,气合斩击,1032,2,1,1034,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,前滚翻后1秒内使用基础攻击，释放气合斩，对前方的敌人造成300%的伤害。,qihe,1001,0,,,,
1034,气合斩击,1032,3,1,1035,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,前滚翻后1秒内使用基础攻击，释放气合斩，对前方的敌人造成320%的伤害。,qihe,1001,0,,,,
1035,气合斩击,1032,4,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,前滚翻后1秒内使用基础攻击，释放气合斩，对前方的敌人造成350%的伤害。,qihe,1001,0,,,,
1036,二段斩击,1036,1,1,1037,0,0,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,基本攻击时6%几率触发斩切类型的二段斩，额外对前方的敌人造成攻击力50%的伤害。,SwordSlashStrengthenLv1,1001,1,,,,
1037,二段斩击,1036,2,1,1038,0,0,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,基本攻击时9%几率触发斩切类型的二段斩，额外对前方的敌人造成攻击力50%的伤害。,SwordSlashStrengthenLv1,1001,1,,,,
1038,二段斩击,1036,3,1,1039,0,0,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,基本攻击时12%几率触发斩切类型的二段斩，额外对前方的敌人造成攻击力50%的伤害。,SwordSlashStrengthenLv1,1001,1,,,,
1039,二段斩击,1036,4,1,0,0,0,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,基本攻击时15%几率触发斩切类型的二段斩，额外对前方的敌人造成攻击力50%的伤害。,SwordSlashStrengthenLv1,1001,1,,,,
1040,嗜血攻击,1040,1,1,1041,0,0,1,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,二段斩（->二段斩击)或要害突刺（->要害突刺)每次攻击命中恢复攻击力6%的生命值。,SwordSlashStrengthenLv2,1001,2,,,,
1041,嗜血攻击,1040,2,1,1042,0,0,1,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,{0，0，0，0},0,0,7,0,0,,,,,,二段斩（->二段斩击)或要害突刺（->要害突刺)每次攻击命中恢复攻击力8%的生命值。,SwordSlashStrengthenLv2,1001,2,,,,
