dwTemplateID,strName,byShape,byDamegePro,byJob,dwCostSP,dwIgnoreAction,byTargetType,dwHitPer,dwCriticalPer,dwCriticalDmgPer,wAoeAimNum,nAoeArea,byAoeCenterType,nAoeCenterData,byAoeAreaType,nAoeAreaData,byIgnoreDef,dwIgnoreDefendAmount,dwDamagePer,naMoreDamagePer[MONSTER_BODY_TYPE_max],bySkillEffect,dwDirectDmgMin,dwDirectDmgMax,dwDmg[10],dwAtkPowerPer[10],sSkillEffectSelf[8],sSkillEffect[8],sSkillEffectHitPoint[8],HealRatio,Description,icon,ParentID,hitPoint,EffectAnchor,EffectStartTime,EffectFile,EffectLifeTime,SkillTimerTrigger,SkillTimerInterval,MoveSpeed,MoveBeginTime,MoveEndTime,RotateBeginTime,RotateEndTime,shakeCamera,ShakeLevel,AudioConf,AudioStartTime,ClassName,CastDistance,SelfEffect,SelfEffectLife,ExplosionEffect,ExplosionEffectLife,HitEffect,HitEffectRotate,HitEffectLife,HitDummy,animation,AnimFadeTime,WeaponTrailLife,WeaponTrailDisappear,WeaponTrailLength,WeaponTrailDelay,Enable,CalcDamage,ZoomInStartTime,ZoomInEndTime,ZoomInLevel,WeaponHitType,BreakState
0,长剑挥砍,0,0,1,0,0,5,0,0,0,20,1500,0,0,5,90,0,0,10000,0;0;0;0,0,0,0,0,2200,,119;159;160;164;168,,0,使用基本攻击攻击敌人，对前方的敌人造成93%的伤害，并恢复10点SP。,SwordSlash,100101,3500,,,,,0,0,10000,0,5000,0,2500,0,0,$warrior_sound/swish_sword_1.wav,100,sdBaseState,1200,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,1,600,1,warrior_basic_attack01_re01_001,0,-1000,200,1500,50,1,1,0,0,0,sword,0;1
1,长剑挥砍,0,0,1,0,0,5,0,0,0,20,1500,0,0,5,90,0,0,10000,0;0;0;0,0,0,0,0,2200,,119;159;160;164;168,,0,使用基本攻击攻击敌人，对前方的敌人造成93%的伤害，并恢复10点SP。,SwordSlash,100101,3500,,,,,0,0,10000,0,5000,0,2500,0,0,$warrior_sound/swish_sword_2.wav,100,sdBaseState,1200,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,1,600,1,warrior_basic_attack02_re01_001,0,-1000,200,1500,50,1,1,0,0,0,sword,0;1
2,长剑挥砍,0,0,1,0,0,5,0,0,0,20,1500,0,0,5,90,0,0,10000,0;0;0;0,0,0,0,0,2200,,119;159;160;164;168,,0,使用基本攻击攻击敌人，对前方的敌人造成93%的伤害，并恢复10点SP。,SwordSlash,100101,3500,,,,,0,0,10000,0,5000,0,2500,0,0,$warrior_sound/swish_sword_3.wav,100,sdBaseState,1200,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,1,600,1,warrior_basic_attack03_re01_001,0,-1000,200,1500,50,1,1,0,0,0,sword,0;1
3,长剑挥砍,0,0,1,0,0,5,0,0,0,20,1500,0,0,5,90,0,0,10000,0;0;0;0,0,0,0,0,2200,,119;159;160;164;168,,0,使用基本攻击攻击敌人，对前方的敌人造成93%的伤害，并恢复10点SP。,SwordSlash,100101,3500,,,,,0,0,10000,0,5000,0,2500,0,0,$warrior_sound/swish_sword_4.wav,100,sdBaseState,1200,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,1,600,1,warrior_basic_attack04_re01_001,0,-1000,200,1500,50,1,1,0,0,0,sword,0;1
4,翻滚,1,0,1,100,0,5,0,0,0,20,3000,0,0,1,0,0,0,10000,0;0;0;0,0,0,0,0,0,,101;102;103,,0,战士冲刺技能，向面对的方向翻滚出一定距离。,Roll,100201,8400,self,1,Effect/MainChar/$Warrior/Fx_Chongfeng_001.prefab,672,0,0,40000,0,8000,9500,10000,0,0,$warrior_sound/dash_01.wav,100,sdBaseState,0,,0,,0,,1,,,warrior_dash_012,0,0,,,,1,0,0,0,0,,
6,致命冲击,0,0,1,100,0,5,0,0,0,20,3000,0,0,7,500,0,0,10000,0;0;0;0,0,0,0,0,7400,,169,,0,用武器突刺敌人，对前方的敌人造成200%的伤害。,FatalBlow,100301,5000,self,1,Effect/MainChar/$Warrior/Fx_Zhimingchongji_001.prefab,1700,0,1000,16000,0,4000,0,2500,1,4000,$warrior_sound/skill_06_1_fatal_strike.wav;$warrior_sound/m_2_warrior_attack_01.wav,100;101,sdBaseState,2000,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,1,600,1,warrior_skill06_007,0,0,,,,1,1,0,0,0,sword,0;1
7,环刺,0,0,1,100,0,5,0,0,0,20,3000,0,0,7,500,0,0,10000,0;0;0;0,0,0,0,0,7400,,169,,0,对前方的所有敌人造成200%的伤害。,FatalBlow,100301,4000,self,1,Effect/MainChar/$Warrior/Fx_Huanci_001.prefab,2500,0,1000,16000,0,5000,0,2500,1,5000,$warrior_sound/skill_06_2_fatal_strike.wav;$warrior_sound/m_2_warrior_attack_02.wav,100;101,sdBaseState,2000,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,1,600,1,warrior_skill11_combo_1_009,0,0,,,,0,1,0,0,0,sword,0;1
8,旋风刺,0,0,1,100,0,5,0,0,0,20,2000,0,0,7,500,0,0,10000,0;0;0;0,0,0,0,0;0;0,4500;4500;4500,,104;169,,0,先前冲出，造成4次150%的伤害。,Whirlwind,100301,2000;4000;6000,self,1,Effect/MainChar/$Warrior/Fx_Xuanfengci_001.prefab,3000,0,0,20000,1000,7000,0,2500,1,5000,$warrior_sound/skill_06_3_fatal_strike.wav;$warrior_sound/m_2_warrior_attack_03.wav,100;101,sdBaseState,3000,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,1,600,1,warrior_skill11_combo_2_008,0,0,,,,0,1,1500,10000,8000,sword,0;1
9,圆月斩,0,0,1,0,0,5,0,0,0,20,3000,0,0,1,0,0,0,10000,0;0;0;0,0,0,0,0,7100,,105;122,,0,挥舞武器攻击周围一圈敌人，造成200%的伤害。使用后继续按技能可释放撼地重击，对周围敌人造成200%的伤害，并有20%的概率击晕除Boss以外的敌人。,MoonStrike,100401,4000,gamelevel,1,Effect/MainChar/$Warrior/Fx_Yuanyuezhan_001.prefab,1400,0,1000,0,0,0,0,2500,1,3000,$warrior_sound/skill_03_circle_slash.wav;$warrior_sound/m_2_warrior_attack_01.wav,100;101,sdBaseState,2000,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,1,600,1,warrior_skill03_re01_002,0,0,,,,1,1,0,0,0,sword,0;1
10,撼地重击,0,0,1,0,0,5,0,0,0,20,3000,0,0,1,0,0,0,10000,0;0;0;0,0,0,0,0,9200,,107,,0,对周围的敌人造成200%的伤害，并有20%的概率击晕除Boss以外的敌人,Earthshake,100401,5000,gamelevel,1,Effect/MainChar/$Warrior/Fx_Handizhongji.prefab,1800,0,1000,0,0,0,0,2500,1,5000,$warrior_sound/skill_05_stunning_impact.wav;$warrior_sound/m_2_warrior_attack_02.wav,100;101,sdBaseState,2000,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,1,600,1,warrior_skill05_011,0,0,,,,1,1,0,0,0,sword,0;1
