effectID,byTimingCondition,byHitCondition,byCountCondition,byMonsterBodyTypeFlag,bySelfCheckType,dwSelfBuffID,byTgtCheckType,dwTgtBuffID,dwProbability,byFlag,dwOperationID,dwOperationData,dwOperationData1,
101,1,0,0,15,0,0,0,0,0,1,1,1001,0,翻滚附加防御提高效果
102,2,1,1,15,0,0,0,0,0,2,1,1009,0,翻滚附加减速效果
103,1,0,0,15,0,0,0,0,0,1,1,1013,0,翻滚附加伤害提高效果
104,2,1,1,15,0,0,0,0,0,1,6,5,0,旋风刺每命中一个敌人恢复sp
105,2,1,1,15,0,0,0,0,0,1,6,5,0,圆月斩命中敌人恢复SP
106,2,1,1,15,0,0,0,0,10000,2,1,1070,0,勇气呐喊附加胆怯效果
107,2,1,1,7,0,0,0,0,2000,2,1,1017,0,撼地重击命中非boss敌人造成昏迷
108,0,0,0,15,0,0,0,0,10000,0,15,15,1,闪电阵召唤闪电阵陷阱
109,1,0,0,15,0,0,0,0,0,1,1,1077,0,瞬间移动附加魔力护盾
110,2,1,1,15,0,0,0,0,0,2,1,1011,0,瞬间移动使周围的目标移动速度下降
111,2,1,1,7,0,0,0,0,0,2,1,1020,0,暴风冰锥附加冰霜效果
112,1,0,0,15,0,0,0,0,0,1,1,1066,0,瞬间移动会法师的攻击速度提高
113,2,1,1,15,0,0,0,0,0,1,3,100,0,雷电术命中敌人恢复HP
114,2,1,1,15,0,0,0,0,0,1,6,10,0,暴风冰锥命中敌人恢复sp
115,2,1,1,7,0,0,0,0,0,2,1,1021,0,雷电术有概率造成感电效果
116,2,0,0,15,0,0,0,0,0,1,36,8,2,弩箭射击有一定几率发射3只弩箭
117,2,1,1,15,0,0,0,0,10000,2,1,1026,0,追踪火球造成燃烧效果
118,2,1,0,15,0,0,0,0,0,0,15,6,1,火球术有概率放置燃烧地带
119,2,1,1,15,0,0,0,0,10000,1,6,10,0,战士基础攻击恢复sp
120,2,1,0,15,0,0,0,0,10000,1,6,5,0,法师基础攻击恢复sp
121,0,0,1,15,0,0,0,0,10000,2,1,1011,0,魔力陷阱附加减速效果
122,2,0,0,15,0,0,0,0,0,1,15,1,3,圆月斩产生旋风
123,2,0,0,15,0,0,0,0,0,1,15,1,3,暴风斩产生旋风
124,2,0,0,15,0,0,0,0,10000,1,36,5,1,发射火球
125,2,0,0,15,0,0,0,0,10000,1,36,8,1,弩箭射击发射1只弩箭
126,2,0,0,15,0,0,0,0,10000,1,36,9,3,齐射发射3只弩箭
127,2,0,0,15,0,0,0,0,10000,1,36,10,3,移动射击发射3只弩箭
128,2,1,0,15,0,0,0,0,10000,1,6,100,0,箭雨命中敌人恢复100点SP
129,2,0,0,15,0,0,0,0,10000,1,36,18,1,贯穿射击发射弩箭
130,2,0,0,15,0,0,0,0,10000,1,36,8,3,弩箭三段击发射3只弩箭
131,2,1,1,15,0,0,0,0,10000,1,6,10,0,游侠基础攻击恢复sp
