code,cn
AllJob,全职业
Warrior,战士
Berserker,狂战士
Knight,无畏骑士
Magic,法师
Wizard,巫术师
Warlock,魔导师
Rogue,游侠
Assassin,刺客
Gunner,重炮手
Minister,牧师
Priest,主教
Pastor,战斗牧师
NonMoney,金币
NonCash,绑定勋章
Cash,勋章
Level,等级
BaseJob,基础门派
Sex,性别
Experience,经验
Str,力量
Int,智力
Dex,敏捷
Sta,耐力
Fai,信念
HP,生命
MaxHP,生命上限
SP,技力
MaxSP,技力上限
HPtick,生命回复
SPtick,技力回复
AtkDmgMin,最小伤害
AtkDmgMax,最大伤害
Atk,攻击
Def,防御
IceAtt,冰霜伤害
FireAtt,火焰伤害
PoisonAtt,毒药伤害
ThunderAtt,雷电伤害
IceDef,冰霜抵抗
FireDef,火焰抵抗
PoisonDef,毒药抵抗
ThunderDef,雷电抵抗
Pierce,穿透
PiercePer,穿透百分比
Hit,命中
HitPer,命中百分比
HitNum,命中点数
Dodge,闪避
DodgePer,闪避百分比
DodgeNum,闪避点数
Cri,暴击
CriPer,暴击百分比
CriNum,暴击点数
Flex,韧性
FlexPer,韧性百分比
FlexNum,韧性点数
CriDmg,暴击伤害
CriDmgDef,暴击防御
AttSpeed,攻击速度
AttSpeedModPer,加速百分比
MoveSpeed,移动速度
MoveSpeedModPer,移动加速百分比
BodySize,体型半径
AttSize,攻击半径
Job,职业
UseLevel,使用等级
Price,售价
Form_Recover,恢复
Form_Cutting,斩切
Form_Destroy,破坏
Form_Defend,守护
Form_Magic,魔法
Form_Secret,秘典
Form_Technique,技巧
Form_Agile,迅捷
Form_Holy,神圣
SkillForm,技能形态
Element_None,无属性
Element_Fire,火
Element_Ice,冰
Element_Thunder,雷
Element_Poison,毒
Att,属性
Consume,消耗技力
NeedWeapon,需要武器
AllWeapon,所有武器
Weapon,武器
OffHand,副手
CoolDown,冷却时间
TotalSkillPoint,总技能点
Equip_Sword,长剑
Equip_Staff,法杖
Equip_Bow,弓箭
Equip_Hammer,战锤
Equip_FightShield,战盾
Equip_ProtectShield,护盾
Equip_ProtectAdron,护符
Equip_BowBag,箭袋
Equip_Hat,头盔
Equip_Coat,上装
Equip_Gloves,手套
Equip_Pants,下装
Equip_Cloak,披风
Equip_Ring,戒指
Equip_Ornaments,饰品
