dwTemplateID,strName,byShape,byDamegePro,byTargetType,dwHitPer,dwCriticalPer,dwCriticalDmgPer,wAoeAimNum,Mode,PeriodTime,Count,nAoeArea,byAoeAreaType,nAoeAreaData,byIgnoreDef,dwIgnoreDefendAmount,dwDamagePer,naMoreDamagePer[MONSTER_BODY_TYPE_max],bySkillEffect,dwDmg[10],dwAtkPowerPer[10],sSkillEffect[8],Description,MoveSpeed,LifeTime,shakeCamera,AudioConf,SummonEffect,ExplosionEffect,ExplosionEffectLife,ExplosionAudioConf,ExplosionAudioStartTime,HitEffect,HitEffectLife,HitDummy,WeaponHitType,DelayDamage,CalcDamage,BindNode,High
1,旋风（战士被动）,0,0,5,0,0,0,20,0,0,20,0,0,0,0,0,10000,0;0;0;0,0,0,1800,,对碰到的目标造成相当于攻击力100%的伤害。,6000,1500,0,,Effect/MainChar/$Warrior/Fx_XuanFeng.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,600,1,sword,0,1,,0
2,旋风（战士被动）,0,0,5,0,0,0,20,0,0,20,0,0,0,0,0,10000,0;0;0;0,0,0,2000,,对碰到的目标造成相当于攻击力100%的伤害。,6000,1500,0,,Effect/MainChar/$Warrior/Fx_XuanFeng.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,600,1,sword,0,1,,0
3,旋风（战士被动）,0,0,5,0,0,0,20,0,0,20,0,0,0,0,0,10000,0;0;0;0,0,0,2200,,对碰到的目标造成相当于攻击力100%的伤害。,6000,1500,0,,Effect/MainChar/$Warrior/Fx_XuanFeng.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,600,1,sword,0,1,,0
4,旋风（战士被动）,0,0,5,0,0,0,20,0,0,20,0,0,0,0,0,10000,0;0;0;0,0,0,2400,,对碰到的目标造成相当于攻击力100%的伤害。,6000,1500,0,,Effect/MainChar/$Warrior/Fx_XuanFeng.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,600,1,sword,0,1,,0
5,火球（法师平砍）,4,2,5,0,0,0,20,0,0,1,1000,1,0,0,0,10000,0;0;0;0,0,0,5700,118;120,碰到目标后爆炸对半径1.5米内的所有敌人造成相当于攻击力60%的火焰伤害，并有概率在原地放下一个燃烧地带。,20000,375,0,,Effect/MainChar/$Mage/Fx_Huoqiu_Fly_001.prefab,Effect/MainChar/$Mage/Fx_Huoqiu_Hit_001.prefab,1000,,0,,,1,fire,0,1,,0
6,燃烧地带（法师平砍）,4,2,5,0,0,0,20,1,500,0,1500,1,0,0,0,10000,0;0;0;0,0,0,2500,,对进入范围内的敌人，每0.5秒造成相当于攻击力50%的伤害。,0,4000,0,,Effect/MainChar/$Mage/Fx_HuoQiu_Buff_001.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Fire_Hit_001.prefab,600,1,fire,0,1,,0
7,魔力陷阱,4,4,5,0,0,0,20,1,500,0,2000,1,0,0,0,0,0;0;0;0,0,0,0,121,对进入范围的敌人附加减速效果,0,3000,0,,Effect/MainChar/$Buff/Fx_Molixuanjing_001.prefab,,0,,0,,0,1,,0,0,,0
8,弩箭射击（游侠平砍）,6,0,5,0,0,0,1,0,0,1,200,1,0,0,0,10000,0;0;0;0,0,0,2200,131;176;177,碰到目标后造成相当于攻击力90%的伤害,25000,300,0,,Effect/MainChar/$Ranger/Fx_WhiteArrow.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_002.prefab,600,1,arrow,0,1,,0
9,齐射（游侠技能）,6,0,5,0,0,0,1,0,0,1,200,1,0,0,0,10000,0;0;0;0,0,0,3200,,碰到目标后造成相当于攻击力125%的伤害,25000,300,0,,Effect/MainChar/$Ranger/Fx_Yidonggongji_Fly_001.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Poison_Hit_001.prefab,600,1,arrow,0,1,,0
10,移动射击（游侠技能）,6,0,5,0,0,0,1,0,0,1,200,1,0,0,0,10000,0;0;0;0,0,0,6500,137,碰到目标后造成相当于攻击力100%的伤害,25000,300,0,,Effect/MainChar/$Ranger/Fx_Yidonggongji_Fly_001.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Poison_Hit_001.prefab,600,1,arrow,0,1,,0
